[2026-02-25 05:00:01] started evolver loop.
[Evolver] Warning: dotenv not found or failed to load .env
Starting capability evolver...
Loop mode enabled (internal daemon).
[Evolver] System load 2.96 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.04 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.74 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.26 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.53 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.62 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.73 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.26 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.55 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.99 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.32 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.85 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.38 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.00 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.38 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.38 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.38 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.55 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.62 exceeds max 2. Backing off 60000ms.
[Evolver] System load 12.72 exceeds max 2. Backing off 60000ms.
[Evolver] System load 7.62 exceeds max 2. Backing off 60000ms.
[Evolver] System load 5.16 exceeds max 2. Backing off 60000ms.
[Evolver] System load 4.09 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.31 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.19 exceeds max 2. Backing off 60000ms.
[Evolver] System load 4.34 exceeds max 2. Backing off 60000ms.
[Evolver] System load 4.13 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.58 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.38 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.38 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.78 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.04 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.00 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.39 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.45 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.52 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.39 exceeds max 2. Backing off 60000ms.
